ts,img_id,t_total_ms,t_clf_ms,t_seg_ms,t_sev_ms,clf_positive
2025-10-02T13:37:20.069758,0_png_jpg.rf.e02812de3558b9a66a0d2911014d3864.jpg,2288.5,603.1,1685.3,0.0,1
2025-10-02T13:37:21.066016,0_png_jpg.rf.e02812de3558b9a66a0d2911014d3864.jpg,684.0,146.8,537.2,0.0,1
2025-10-02T13:37:21.809578,109_png_jpg.rf.5109aa68b549ac1eb008b61c6fb89751.jpg,673.1,133.8,539.3,0.0,1
2025-10-02T13:37:22.582305,10_png_jpg.rf.05746ef1118da0df1a07674b1adcdd3a.jpg,702.3,159.5,542.8,0.0,1
2025-10-02T13:37:23.349555,112_png_jpg.rf.d19b27b5ddde4340bcad193d2ad84994.jpg,698.9,153.5,545.5,0.0,1
2025-10-02T13:37:24.131600,14_png_jpg.rf.12af2c045d41c5c59c25f9555d15715f.jpg,712.7,164.1,548.6,0.0,1
2025-10-02T13:37:24.913286,16_png_jpg.rf.ab7d4cc129d35689ed9c71c63a35609c.jpg,718.9,170.4,548.5,0.0,1
2025-10-02T13:37:25.114671,203_jpg.rf.62e8972878914147c524aaf7b9082191.jpg,135.0,135.0,0.0,0.0,0
2025-10-02T13:37:25.855923,23_png_jpg.rf.1269dc0b3beb213ace301d640b7d074c.jpg,678.7,134.7,544.0,0.0,1
2025-10-02T13:37:26.600173,24_png_jpg.rf.847000390f4acd7e983803aacd77ebce.jpg,682.5,143.9,538.6,0.0,1
2025-10-02T13:37:27.354662,41_png_jpg.rf.d3a4e155639263f6279cdf05acea6893.jpg,693.0,150.1,542.9,0.0,1
2025-10-02T13:37:28.120581,42_png_jpg.rf.9389292e3397a4f893fa7596ed8dc242.jpg,695.2,145.1,550.1,0.0,1
2025-10-02T13:37:28.891960,47_png_jpg.rf.2f453d16dae2aeb2ab3bae9b52444f54.jpg,702.6,156.0,546.6,0.0,1
2025-10-02T13:37:29.650962,62_png_jpg.rf.47f2861adb009420a778457c11efb580.jpg,691.7,146.2,545.5,0.0,1
2025-10-02T13:37:30.402304,74_png_jpg.rf.cc3ddca2e02a633ff60078179d1cfb20.jpg,688.2,144.9,543.3,0.0,1
2025-10-02T13:37:31.157111,7901_jpeg_jpg.rf.e70cc2c92cd6eb8aaa71bc1caed6c1a3.jpg,692.1,147.4,544.6,0.0,1
2025-10-02T13:37:31.903700,7903_jpeg_jpg.rf.8e989b2666d7f9b227ef3ed91b8ce36f.jpg,684.5,141.0,543.4,0.0,1
2025-10-02T13:37:32.643929,7906_jpeg_jpg.rf.b47d20a0fa15a323737b03a5722b2045.jpg,673.9,134.8,539.0,0.0,1
2025-10-02T13:37:33.386864,7931_jpeg_jpg.rf.2c73066f59af5847b18c62276961b7a5.jpg,685.0,143.8,541.2,0.0,1
2025-10-02T13:37:34.153156,81_png_jpg.rf.8f10175a2d8558d88dae482faf9d6e6a.jpg,694.2,145.5,548.7,0.0,1
